State,Total households,Has one or more types of computing devices,Has one or more Desktop or laptop,Desktop or laptop with no other type of computing device,Has one or more Smartphone,Smartphone with no other type of computing device,Has one or more Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Has one or more types of computing devices: Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription,Dial-up with no other type of Internet subscription,Broadband of any type,Broadband: Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband: Cable, fiber optic or DSL",Broadband: Satellite Internet service,Without an Internet subscription,"Household Income Less than $20,000:","Household Income Less than $20,000: With dial-up Internet subscription alone","Household Income Less than $20,000: With a broadband Internet subscription","Household Income Less than $20,000: Without an Internet subscription","Household Income Between $20,000 and $74,999:","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone","Household Income Between $20,000 and $74,999: With a broadband Internet subscription","Household Income Between $20,000 and $74,999: Without an Internet subscription","Household Income $75,000 or more:","Household Income $75,000 or more: With dial-up Internet subscription alone","Household Income $75,000 or more: With a broadband Internet subscription","Household Income $75,000 or more: Without an Internet subscription",Has one or more types of computing devices (Percent),Has one or more Desktop or laptop (Percent),Desktop or laptop with no other type of computing device (Percent),Has one or more Smartphone (Percent),Smartphone with no other type of computing device (Percent),Has one or more Tablet or other portable wireless computer (Percent),Tablet or other portable wireless computer with no other type of computing device (Percent),Has one or more types of computing devices: Other computer (Percent),Other computer with no other type of computing device (Percent),No computer (Percent),With an Internet subscription (Percent),Dial-up with no other type of Internet subscription (Percent),Broadband of any type (Percent),Broadband: Cellular data plan (Percent),Broadband: Cellular data plan with no other type of Internet subscription (Percent),"Broadband: Cable, fiber optic or DSL (Percent)",Broadband: Satellite Internet service (Percent),Without an Internet subscription (Percent),"Household Income Less than $20,000: With dial-up Internet subscription alone (Percent)","Household Income Less than $20,000: With a broadband Internet subscription (Percent)","Household Income Less than $20,000: Without an Internet subscription (Percent)","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone (Percent)","Household Income Between $20,000 and $74,999: With a broadband Internet subscription (Percent)","Household Income Between $20,000 and $74,999: Without an Internet subscription (Percent)","Household Income $75,000 or more: With dial-up Internet subscription alone (Percent)","Household Income $75,000 or more: With a broadband Internet subscription (Percent)","Household Income $75,000 or more: Without an Internet subscription (Percent)"
MT,464072,439192,373588,16594,411149,42445,272308,3740,8979,252,24880,414800,979,413821,371785,52202,322983,48870,49272,60709,145,43736,16828,194188,630,171442,22116,209175,204,198643,10328,94.6,80.5,3.6,88.6,9.1,58.7,0.8,1.9,0.1,5.4,89.4,0.2,89.2,80.1,11.2,69.6,10.5,10.6,0.2,72,27.7,0.3,88.3,11.4,0.1,95,4.9
NE,803157,767887,643054,23508,726843,71351,513505,6579,18377,409,35270,725895,1387,724508,668337,81851,605763,54364,77262,94905,479,69491,24935,331611,648,291476,39487,376641,260,363541,12840,95.6,80.1,2.9,90.5,8.9,63.9,0.8,2.3,0.1,4.4,90.4,0.2,90.2,83.2,10.2,75.4,6.8,9.6,0.5,73.2,26.3,0.2,87.9,11.9,0.1,96.5,3.4
NV,1198356,1162983,987932,29678,1116407,111819,767216,5441,35961,534,35373,1097824,784,1097040,1041654,140535,916496,89272,100532,137477,136,108572,28769,483096,506,431738,50852,577783,142,556730,20911,97,82.4,2.5,93.2,9.3,64,0.5,3,0,3,91.6,0.1,91.5,86.9,11.7,76.5,7.4,8.4,0.1,79,20.9,0.1,89.4,10.5,0,96.4,3.6
NH,557220,539956,476413,21305,503356,33775,370667,5291,13243,342,17264,524310,991,523319,471984,42284,469337,19551,32910,47457,133,38190,9134,185353,472,168957,15924,324410,386,316172,7852,96.9,85.5,3.8,90.3,6.1,66.5,0.9,2.4,0.1,3.1,94.1,0.2,93.9,84.7,7.6,84.2,3.5,5.9,0.3,80.5,19.2,0.3,91.2,8.6,0.1,97.5,2.4
NJ,3516978,3381560,2952183,99136,3209571,254433,2380463,27808,81424,1132,135418,3275033,4293,3270740,3105778,356998,2851134,133641,241945,345159,753,266268,78138,1056039,2281,939401,114357,2115780,1259,2065071,49450,96.1,83.9,2.8,91.3,7.2,67.7,0.8,2.3,0,3.9,93.1,0.1,93,88.3,10.2,81.1,3.8,6.9,0.2,77.1,22.6,0.2,89,10.8,0.1,97.6,2.3
NM,848218,796355,647789,25566,752120,100614,487190,6887,30351,196,51863,736298,1510,734788,666486,96952,585169,74702,111920,143337,289,102398,40650,359400,742,305705,52953,345481,479,326685,18317,93.9,76.4,3,88.7,11.9,57.4,0.8,3.6,0,6.1,86.8,0.2,86.6,78.6,11.4,69,8.8,13.2,0.2,71.4,28.4,0.2,85.1,14.7,0.1,94.6,5.3
NY,7774308,7372075,6191699,230588,6956817,693783,4977094,81033,226874,2328,402233,7039243,10380,7028863,6537149,881426,5985223,335386,735065,1102538,2539,830320,269679,2606381,4995,2277687,323699,4065389,2846,3920856,141687,94.8,79.6,3,89.5,8.9,64,1,2.9,0,5.2,90.5,0.1,90.4,84.1,11.3,77,4.3,9.5,0.2,75.3,24.5,0.2,87.4,12.4,0.1,96.4,3.5
NC,4299266,4100316,3430219,109638,3906678,428780,2705572,33432,109773,972,198950,3884351,4739,3879612,3649648,437237,3292124,272479,414915,564188,1423,409669,153096,1793082,2197,1594826,196059,1941996,1119,1875117,65760,95.4,79.8,2.6,90.9,10,62.9,0.8,2.6,0,4.6,90.3,0.1,90.2,84.9,10.2,76.6,6.3,9.7,0.3,72.6,27.1,0.1,88.9,10.9,0.1,96.6,3.4
ND,331481,316395,264656,8795,300220,29115,206885,3210,5829,117,15086,296800,419,296381,275642,31833,255369,19188,34681,41704,94,31356,10254,129976,294,113523,16159,159801,31,151502,8268,95.4,79.8,2.7,90.6,8.8,62.4,1,1.8,0,4.6,89.5,0.1,89.4,83.2,9.6,77,5.8,10.5,0.2,75.2,24.6,0.2,87.3,12.4,0,94.8,5.2
OH,4878206,4610431,3788548,141629,4353004,495259,3023084,48696,102312,655,267775,4417491,7877,4409614,4096854,516713,3717760,274341,460715,678745,2346,513607,162792,2040426,3757,1809310,227359,2159035,1774,2086697,70564,94.5,77.7,2.9,89.2,10.2,62,1,2.1,0,5.5,90.6,0.2,90.4,84,10.6,76.2,5.6,9.4,0.3,75.7,24,0.2,88.7,11.1,0.1,96.6,3.3
OK,1573180,1494497,1168154,37794,1430889,219270,919410,9738,39330,780,78683,1396087,1831,1394256,1299330,235096,1069054,129687,177093,238659,204,176190,62265,709774,1191,620704,87879,624747,436,597362,26949,95,74.3,2.4,91,13.9,58.4,0.6,2.5,0,5,88.7,0.1,88.6,82.6,14.9,68,8.2,11.3,0.1,73.8,26.1,0.2,87.5,12.4,0.1,95.6,4.3
OR,1726340,1671313,1464450,47811,1591463,118844,1135039,11705,40452,394,55027,1597585,2159,1595426,1496539,155907,1364542,114291,128755,202596,524,156528,45544,653370,1062,593412,58896,870374,573,845486,24315,96.8,84.8,2.8,92.2,6.9,65.7,0.7,2.3,0,3.2,92.5,0.1,92.4,86.7,9,79,6.6,7.5,0.3,77.3,22.5,0.2,90.8,9,0.1,97.1,2.8
PA,5294065,4984859,4186355,172538,4671288,461341,3331931,57815,123354,1959,309206,4771626,12281,4759345,4421399,580240,4036964,238854,522439,676288,2484,496983,176821,2076801,6721,1808235,261845,2540976,3076,2454127,83773,94.2,79.1,3.3,88.2,8.7,62.9,1.1,2.3,0,5.8,90.1,0.2,89.9,83.5,11,76.3,4.5,9.9,0.4,73.5,26.1,0.3,87.1,12.6,0.1,96.6,3.3
RI,446688,422790,360637,14203,397597,39300,284307,4785,10161,67,23898,408480,349,408131,382572,49520,351861,14730,38208,57982,0,41138,16844,147002,349,133225,13428,241704,0,233768,7936,94.6,80.7,3.2,89,8.8,63.6,1.1,2.3,0,5.4,91.4,0.1,91.4,85.6,11.1,78.8,3.3,8.6,0,70.9,29.1,0.2,90.6,9.1,0,96.7,3.3
SC,2136080,2020418,1629204,51003,1928553,245378,1320184,17152,65493,764,115662,1906413,2010,1904403,1778905,262047,1554690,154616,229667,299840,462,209851,89527,914426,1450,806690,106286,921814,98,887862,33854,94.6,76.3,2.4,90.3,11.5,61.8,0.8,3.1,0,5.4,89.2,0.1,89.2,83.3,12.3,72.8,7.2,10.8,0.2,70,29.9,0.2,88.2,11.6,0,96.3,3.7
SD,368300,347676,290135,13797,326648,35372,220704,2108,7741,8,20624,331809,831,330978,299475,40153,279171,20197,36491,46677,546,32100,14031,150256,238,134828,15190,171367,47,164050,7270,94.4,78.8,3.7,88.7,9.6,59.9,0.6,2.1,0,5.6,90.1,0.2,89.9,81.3,10.9,75.8,5.5,9.9,1.2,68.8,30.1,0.2,89.7,10.1,0,95.7,4.2
TN,2846684,2702091,2163947,62624,2585377,338611,1765183,22589,84808,905,144593,2554409,3521,2550888,2370245,342993,2098767,176384,292275,383392,810,276614,105968,1220764,2126,1078079,140559,1242528,585,1196195,45748,94.9,76,2.2,90.8,11.9,62,0.8,3,0,5.1,89.7,0.1,89.6,83.3,12,73.7,6.2,10.3,0.2,72.1,27.6,0.2,88.3,11.5,0,96.3,3.7
TX,11087708,10692780,8843070,206318,10343427,1259386,7083350,52977,325114,2153,394928,10150617,10077,10140540,9570758,1381193,8249131,940383,937091,1354168,1918,1023308,328942,4375068,4969,3934514,435585,5358472,3190,5182718,172564,96.4,79.8,1.9,93.3,11.4,63.9,0.5,2.9,0,3.6,91.5,0.1,91.5,86.3,12.5,74.4,8.5,8.5,0.1,75.6,24.3,0.1,89.9,10,0.1,96.7,3.2
UT,1129660,1109082,1008198,18131,1077837,64626,815798,3388,33032,60,20578,1059206,2002,1057204,1017026,86508,922253,90458,70454,81147,582,65674,14891,387316,658,349846,36812,661197,762,641684,18751,98.2,89.2,1.6,95.4,5.7,72.2,0.3,2.9,0,1.8,93.8,0.2,93.6,90,7.7,81.6,8,6.2,0.7,80.9,18.4,0.2,90.3,9.5,0.1,97,2.8
VT,277090,264269,234583,15856,238737,15145,171428,2788,5201,118,12821,252926,1709,251217,217295,22056,214876,18963,24164,29903,231,22255,7417,110317,924,97695,11698,136870,554,131267,5049,95.4,84.7,5.7,86.2,5.5,61.9,1,1.9,0,4.6,91.3,0.6,90.7,78.4,8,77.5,6.8,8.7,0.8,74.4,24.8,0.8,88.6,10.6,0.4,95.9,3.7
VA,3380607,3228485,2795355,84928,3081898,274576,2226936,22910,74804,580,152122,3077320,5762,3071558,2895598,374891,2572271,211746,303287,364695,686,263862,100147,1126486,3370,986011,137105,1889426,1706,1821685,66035,95.5,82.7,2.5,91.2,8.1,65.9,0.7,2.2,0,4.5,91,0.2,90.9,85.7,11.1,76.1,6.3,9,0.2,72.4,27.5,0.3,87.5,12.2,0.1,96.4,3.5
WA,3079953,2996206,2658927,79149,2868263,201215,2083705,15295,82727,945,83747,2884660,2820,2881840,2691786,278421,2487346,183322,195293,293839,446,233915,59478,974986,1204,881381,92401,1811128,1170,1766544,43414,97.3,86.3,2.6,93.1,6.5,67.7,0.5,2.7,0,2.7,93.7,0.1,93.6,87.4,9,80.8,6,6.3,0.2,79.6,20.2,0.1,90.4,9.5,0.1,97.5,2.4
WV,736341,675143,513314,26841,623246,101967,416565,10588,12444,363,61198,638295,1913,636382,567088,83013,516404,49322,98046,133299,287,94550,38462,336414,1302,285742,49370,266628,324,256090,10214,91.7,69.7,3.6,84.6,13.8,56.6,1.4,1.7,0,8.3,86.7,0.3,86.4,77,11.3,70.1,6.7,13.3,0.2,70.9,28.9,0.4,84.9,14.7,0.1,96,3.8
WI,2491121,2363004,1992883,75945,2233701,222636,1528509,20242,46018,1096,128117,2263743,7075,2256668,2093356,279582,1852370,170794,227378,282743,957,208777,73009,1029180,4066,909182,115932,1179198,2052,1138709,38437,94.9,80,3,89.7,8.9,61.4,0.8,1.8,0,5.1,90.9,0.3,90.6,84,11.2,74.4,6.9,9.1,0.3,73.8,25.8,0.4,88.3,11.3,0.2,96.6,3.3
WY,243321,232963,197779,6186,220905,20149,151647,2485,3570,96,10358,218664,934,217730,196933,27535,170312,25497,24657,30275,357,22696,7222,99509,224,88082,11203,113537,353,106952,6232,95.7,81.3,2.5,90.8,8.3,62.3,1,1.5,0,4.3,89.9,0.4,89.5,80.9,11.3,70,10.5,10.1,1.2,75,23.9,0.2,88.5,11.3,0.3,94.2,5.5
PR,1289311,1112763,653890,31145,1055448,339849,528657,15220,31180,112,176548,1049982,7602,1042380,943947,275684,667893,102911,239329,559316,3524,389832,165960,568617,3832,498903,65882,161378,246,153645,7487,86.3,50.7,2.4,81.9,26.4,41,1.2,2.4,0,13.7,81.4,0.6,80.8,73.2,21.4,51.8,8,18.6,0.6,69.7,29.7,0.7,87.7,11.6,0.2,95.2,4.6
